date,y_items
2021-11-01,3.0
2021-12-01,7.5
2022-01-01,15.5
2022-02-01,28.0
2022-03-01,28.0
2022-04-01,43.0
2022-05-01,59.5
2022-06-01,73.0
2022-07-01,53.5
2022-08-01,96.5
2022-09-01,81.5
2022-10-01,115.5
2022-11-01,147.5
2022-12-01,122.0
2023-01-01,172.5
2023-02-01,185.0
2023-03-01,214.0
2023-04-01,187.0
2023-05-01,238.5
2023-06-01,332.0
2023-07-01,331.5
2023-08-01,342.5
2023-09-01,429.5
2023-10-01,522.5
2023-11-01,648.0
2023-12-01,751.5
2024-01-01,888.5
